country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB","26-02-2026 10:00:00",13.1278,80.2642,SO2,5,7,6
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","26-02-2026 10:00:00",13.1662,80.2584,PM2.5,4,180,46
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","26-02-2026 10:00:00",26.159933,75.780517,CO,16,80,31
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","26-02-2026 10:00:00",24.5886166,73.6321397,PM10,68,172,116
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","26-02-2026 10:00:00",24.5886166,73.6321397,NO2,1,106,43
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB","26-02-2026 10:00:00",28.9535882,77.7622941,OZONE,30,179,50
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","26-02-2026 10:00:00",29.063510,77.709723,NO2,9,100,56
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","26-02-2026 10:00:00",28.83526,78.74460,PM2.5,28,127,70
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","26-02-2026 10:00:00",28.88528,78.73880,PM10,62,172,116
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","26-02-2026 10:00:00",28.88528,78.73880,SO2,23,25,24
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","26-02-2026 10:00:00",28.88528,78.73880,CO,2,74,18
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","26-02-2026 10:00:00",28.856664,78.772638,NH3,6,6,6
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","26-02-2026 10:00:00",28.856664,78.772638,OZONE,16,25,17
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","26-02-2026 10:00:00",17.37206,78.50864,NH3,3,3,3
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","26-02-2026 10:00:00",17.37206,78.50864,CO,26,40,28
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","26-02-2026 10:00:00",17.528544,78.286195,CO,28,58,52
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","26-02-2026 10:00:00",17.349694,78.451437,SO2,2,19,10
India,Telangana,Hyderabad,"Zoo Park, Hyderabad - TSPCB","26-02-2026 10:00:00",17.349694,78.451437,OZONE,22,30,24
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","26-02-2026 10:00:00",23.8175497,91.2726974,PM10,NA,NA,NA
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","26-02-2026 10:00:00",23.8175497,91.2726974,SO2,1,1,1
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","26-02-2026 10:00:00",26.428282,80.327067,PM10,41,165,109
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","26-02-2026 10:00:00",26.428282,80.327067,CO,34,46,42
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB","26-02-2026 10:00:00",26.509954,80.249612,SO2,NA,NA,NA
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","26-02-2026 10:00:00",26.4703136,80.3229863,SO2,7,27,15
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","26-02-2026 10:00:00",26.4703136,80.3229863,OZONE,6,21,6
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","26-02-2026 10:00:00",26.868120,81.005119,PM2.5,74,232,144
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB","26-02-2026 10:00:00",28.964949,77.278761,NO2,14,58,36
